cell_id,centroid_lat,centroid_lon,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,vendor_density
19,-6.912249999999998,107.55224999999999,0.45237821360786795,0.8956616445640045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765566005284101,0.20121599216575317,0.3290464106288418,0.42279501184020335,21.9
20,-6.9077499999999965,107.55224999999999,0.45237821360786795,0.9628113150435014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346257008479758,0.3209485666225744,0.3232180520548375,0.5462637014098147,23.6
21,-6.9032499999999954,107.55224999999999,0.45237821360786795,0.8674655389329421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42220142635024566,0.10912967531891643,0.26549556004988906,0.3641758009398765,18.3
22,-6.898749999999996,107.55224999999999,0.45237821360786795,0.9053250787451729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46089429998029807,0.2004057343210348,0.3846430831990867,0.3641758009398765,22.5
23,-6.894249999999996,107.55224999999999,0.45237821360786795,0.9679470667957594,0.5,0.33333333333333337,0.0,0.0,0.2242438242175754,0.0,0.0,0.20392115195117816,0.0,0.1639936139535324,0.42279501184020335,26.0
24,-6.889749999999995,107.55224999999999,0.214700638408006,0.831073929651193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70649135052067,0.0,0.28984032829328327,0.5111853636314163,11.7
25,-6.885249999999996,107.55224999999999,0.214700638408006,0.8824278834359233,0.18567664235391726,0.0,0.16794877895704194,0.3023564218435529,0.35541805240316376,0.0,0.3371945170584955,0.7519708910353272,0.0,0.33345468825867475,0.3641758009398765,17.4
26,-6.8807499999999955,107.55224999999999,0.214700638408006,0.883645012186713,0.23820488277869578,0.0,0.3358975579140839,0.23961179523712922,0.4484876484351508,0.0,0.0,0.810933967037961,0.0,0.3177409169750435,0.5772049881597967,20.0
27,-6.876249999999994,107.55224999999999,0.214700638408006,0.9092450166105657,0.2883245069059757,0.0,0.0,0.3023564218435529,0.35541805240316376,0.0,0.0,0.6674552002363071,0.16054601125170737,0.41037706260887186,0.6932732641013545,21.0
28,-6.871749999999995,107.55224999999999,0.214700638408006,0.8752692918873533,0.13652123889719706,0.0,0.16794877895704194,0.15117821092177644,0.35541805240316376,0.6593906738397314,0.0,0.5249489896860402,0.35206276281924287,0.3709097286424058,0.42279501184020335,6.3
29,-6.867249999999995,107.55224999999999,0.214700638408006,0.9034099010220504,0.5,0.33333333333333337,0.0,0.0,0.2242438242175754,0.0,0.0,0.3589775811665862,0.29624378251154754,0.3586402581539807,0.6299206402569856,20.4
30,-6.862749999999996,107.55224999999999,0.214700638408006,0.860085509667155,0.5,0.0,0.16794877895704194,0.15117821092177644,0.0,0.0,0.0,0.5613992678588378,0.20855309364811678,0.37809729369314904,0.6932732641013545,19.9
31,-6.858249999999995,107.55224999999999,0.214700638408006,0.8747955120934924,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.825997706668686,0.0,0.46455037984609643,0.6299206402569856,11.4
32,-6.853749999999995,107.55224999999999,0.214700638408006,0.8668104773706254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715022963548963,0.0,0.20683483719106405,0.18208790046993825,11.8
33,-6.849249999999993,107.55224999999999,0.214700638408006,0.9241201040557309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224497606886705,0.0,0.1424152644457017,0.18208790046993825,9.6
34,-6.99775,107.55674999999998,0.45237821360786795,0.9001417491550758,0.0,0.0,0.0,0.15117821092177644,0.0,0.0,0.0,0.787411575534924,0.03933429747838912,0.35805666401435904,0.0,21.1
35,-6.99325,107.55674999999998,0.45237821360786795,0.9746562785584056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839794950876022,0.20446245583644496,0.44084002678740664,0.5111853636314163,20.7
36,-6.988749999999999,107.55674999999998,0.45237821360786795,0.9105842948760596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288701416372184,0.19660166048184574,0.29090109275618004,0.18208790046993825,18.2
37,-6.984249999999999,107.55674999999998,0.45237821360786795,0.8883717450140837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8358803658874129,0.0,0.36920428718205345,0.18208790046993825,16.9
38,-6.979749999999999,107.55674999999998,0.45237821360786795,0.975136570708495,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.9127897454822669,0.0,0.3601553911731062,0.42279501184020335,18.1
39,-6.97525,107.55674999999998,0.45237821360786795,0.9091085557732219,0.5,0.0,0.0,0.0,0.2242438242175754,0.0,0.21274605355336315,0.8964214364501003,0.0,0.7349655542347655,0.89348540639004,27.6
40,-6.970749999999999,107.55674999999998,0.45237821360786795,0.9111833570646334,0.0,0.0,0.0,0.0,0.0,0.20801459767650946,0.0,0.9023887433660498,0.0,0.5894438724449585,0.6048829123101417,24.7
41,-6.96625,107.55674999999998,0.45237821360786795,0.8711414446236891,0.0,0.0,0.16794877895704194,0.0,0.0,0.0,0.0,0.9056196010791793,0.12406043083095716,0.5181958906921954,0.3641758009398765,17.3
42,-6.961749999999998,107.55674999999998,0.45237821360786795,0.8774676522872832,0.20806222240005767,0.0,0.3899649883623831,0.15117821092177644,0.2242438242175754,0.20801459767650946,0.0,0.9098352653203597,0.5408796087587833,0.6816275194811494,0.7113975059201018,10.1
43,-6.957249999999998,107.55674999999998,0.45237821360786795,0.9520608295915169,0.0,0.0,0.0,0.0,0.0,0.20801459767650946,0.0,0.881296784578728,0.0,0.27088957980346434,0.28860249407989835,19.8
44,-6.952749999999997,107.55674999999998,0.45237821360786795,0.8800781368422113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656313054413604,0.0,0.42744822025079865,0.3641758009398765,22.9
45,-6.948249999999998,107.55674999999998,0.45237821360786795,0.9578197115321094,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.8304052236093781,0.0,0.31709680865986317,0.18208790046993825,20.7
46,-6.943749999999998,107.55674999999998,0.45237821360786795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7819750520344102,0.0,0.3874065673552046,0.42279501184020335,19.3
47,-6.939249999999999,107.55674999999998,0.45237821360786795,0.9220968740997503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7264334639327684,0.0,0.2758142394225581,0.28860249407989835,17.5
48,-6.9347499999999975,107.55674999999998,0.45237821360786795,0.8816241878117708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8671259465713061,0.0,0.6472103367463607,0.4706903945498366,18.6
49,-6.930249999999997,107.55674999999998,0.45237821360786795,0.9424567588941624,0.0,0.0,0.0,0.15117821092177644,0.0,0.0,0.0,0.8128141829431,0.0,0.40920426575712854,0.5462637014098147,21.1
50,-6.925749999999998,107.55674999999998,0.45237821360786795,0.9918646627258867,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.720128514686999,0.0,0.45719436187227436,0.6048829123101417,20.0
51,-6.921249999999997,107.55674999999998,0.45237821360786795,0.9509239087574906,0.2,0.0,0.0,0.15117821092177644,0.35541805240316376,0.20801459767650946,0.21274605355336315,0.6949420665778558,0.22820533439473933,0.4962023705076767,0.6048829123101417,24.7
52,-6.916749999999997,107.55674999999998,0.45237821360786795,0.9273873715671618,0.3250112108241771,0.0,0.0,0.15117821092177644,0.0,0.5377099345963751,0.0,0.6607497554439259,0.0,0.7850572563689227,0.7113975059201018,5.7
53,-6.912249999999998,107.55674999999998,0.45237821360786795,0.9800996210837066,0.0,0.0,0.0,0.0,0.0,0.20801459767650946,0.0,0.4128116990836018,0.0,0.29526819998135423,0.4706903945498366,26.7
54,-6.9077499999999965,107.55674999999998,0.45237821360786795,1.0,0.22406015629507225,0.33333333333333337,0.0,0.0,0.35541805240316376,0.4160291953530189,0.0,0.6786973484456876,0.0,0.16717994522009474,0.18208790046993825,12.7
55,-6.9032499999999954,107.55674999999998,0.45237821360786795,0.955087921059999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144716734617367,0.1039325104853729,0.28886558176634003,0.3641758009398765,21.1
56,-6.898749999999996,107.55674999999998,0.45237821360786795,0.94704162554809,0.31546487678572865,0.0,0.0,0.0,0.4484876484351508,0.0,0.21274605355336315,0.5144716734617367,0.33532892407831527,0.2564932975963986,0.4706903945498366,22.8
57,-6.894249999999996,107.55674999999998,0.6360211652383965,0.9560303867131091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4128116990836018,0.0,0.22617600838803492,0.4706903945498366,25.5
58,-6.889749999999995,107.55674999999998,0.214700638408006,0.9166361665193004,0.2402410118609203,0.0,0.2661925166888179,0.0,0.35541805240316376,0.0,0.21274605355336315,0.6469403229497639,0.01465546147629789,0.42122316005368515,0.5462637014098147,10.5
